The Matrix | Rustamji Institute of Technology | [1, 'kan(315)']
future3 | Karpagam College of Engineering, Coimbatore | [1, 'amr(1427)']
Brotherhood | Madras Institute of Technology, Anna University | [1, 'kgp(101)']
Codabees | Karpagam College of Engineering, Coimbatore | [1, 'amr(1121)']
CODEMANIA | National Institute of Technology, Durgapur | [1, 'kgp(413)']
Bozo | International Institute of Information Technology, Bangalore | [1, 'amr(1159)']
The Y-Knots | International Institute of Information Technology, Hyderabad | [1, 'amr(545)']
Spacebar | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1005)']
voidstars | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'amr(1214)']
maniAC | Indian Institute of Technology, Varanasi | [1, 'kan(150)']
Boolean Trap | Dharmsinh Desai University, Nadiad | [1, 'kgp(213)']
Xploit | Maharaja Agrasen Institute of Technology | [1, 'kgp(268)']
abracadabra | Indian Institute of Technology Mandi | [1, 'kan(237)']
Jeopardy | Indian Institute of Technology Roorkee | [1, 'amr(388)']
cyberworiers | Institute of Technology, Nirma University | [1, 'amr(983)']
deathbyDP | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(196)']
Deviant_coders | Indian Institute of Information Technology, Allahabad | [1, 'amr(175)']
NoTeamNameFoundException | SASTRA University | [1, 'kan(397)']
11 | Amrita School of Engineering, Coimbatore | [1, 'amr(936)']
Team Z | Amrita School of Engineering, Coimbatore | [1, 'amr(1058)']
ADNIK | National Institute of Technology, Calicut | [1, 'amr(1131)']
Off Track | Techno India Salt Lake | [1, 'amr(707)']
You_Know_Who | International Institute of Information Technology, Hyderabad | [1, 'amr(745)']
strike2 | Netaji Subhas Institute of Technology, New Delhi | [1, 'kan(299)']
Bits_Kinect | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(628)']
backbenchcoders | M. S. Ramaiah Institute of Technology, Bengaluru | [1, 'amr(998)']
CODEPLAY | Indian Institute of Information Technology, Allahabad | [1, 'amr(174)']
Kanivar | Institute of Engineering Technology, Ahmedabad | [1, 'kan(437)']
APOLLO 5 | The LNM Institute of Information Technology | [1, 'amr(867)']
Team-JS | Visvesvaraya National Institute of Technology, Nagpur | [1, 'kan(200)']
CODSTERS | National Institute of Technology, Calicut | [1, 'amr(976)']
Red Beans | Amrita School of Engineering, Coimbatore | [1, 'amr(996)']
Coder's Creed | International Institute of Information Technology, Bangalore | [1, 'amr(507)']
djphoenix | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(877)']
invincible | Government Engineering College, Ajmer | [1, 'kan(264)']
Daring Dudes | International Institute of Information Technology, Hyderabad | [1, 'amr(167)']
go_green | Birla Institute of Technology Mesra | [1, 'amr(83)']
dmn_icpc | Motilal Nehru National Institute of Technology Allahabad | [1, 'kan(124)']
CStarters | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1225)']
Angelfire | Indian Institute of Information Technology, Allahabad | [1, 'amr(183)']
Bazinga2 | International Institute of Information Technology, Bangalore | [1, 'kgp(96)']
TDC | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'amr(658)']
Lucror | Manipal Institute of Technology, Manipal | [1, 'amr(1174)']
CODE CRACKERS | PSG College of Technology, Coimbatore | [1, 'amr(1172)']
CODERUSH | Delhi Technological University | [1, 'amr(657)']
MicroLuNex | Netaji Subhas Institute of Technology, New Delhi | [1, 'kgp(339)']
flare | Rustamji Institute of Technology | [1, 'kgp(355)']
CodeTrek | International Institute of Information Technology, Hyderabad | [1, 'amr(448)']
Code Detectors | PSG College of Technology, Coimbatore | [1, 'amr(1307)']
CodeWizards | Charotar University of Science and Technology | [1, 'kan(281)']
concrete sneakers | SASTRA University | [1, 'amr(985)']
O(P) | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(476)']
LANNISTERS | Indian Institute of Technology Guwahati | [1, 'amr(712)']
codex007 | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(1227)']
npcomplete | Indian Institute of Technology Kharagpur | [1, 'amr(932)']
RAmpAnt | Jadavpur University | [1, 'kan(161)']
Code_Genx | Sri Sivasubramaniya Nadar College of Engineering, Chennai | [1, 'amr(69)']
RandomBitstring | Indian Institute of Technology Madras | [1, 'amr(299)']
Decodeez | Maharaja Agrasen Institute of Technology | [1, 'kgp(419)']
Turing Test Failures | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(858)']
methHeads | Institute of Technology, Nirma University | [1, 'kan(309)']
Jam Breakers | Indian Institute of Technology Madras | [1, 'kan(454)']
CODEEAGLE | National Institute of Technology Raipur | [1, 'amr(954)']
MKG | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(267)']
beginner | Gayatri Vidya Parishad College of Engineering For Women, Visakhapatnam | [1, 'amr(1012)']
Codeblue | Dr. B. R. Ambedkar National Institute of Technology, Jalandhar | [1, 'amr(182)']
The Gaussfers | University of Petroleum and Energy Studies, Dehradun | [1, 'kan(444)']
codepro | National Institute of Technology, Jamshedpur | [1, 'amr(519)']
Alchemists | Indian Institute of Information Technology, Allahabad | [1, 'amr(527)']
Sanguines | M. S. Ramaiah Institute of Technology, Bengaluru | [1, 'amr(1042)']
apriori | International Institute of Information Technology, Hyderabad | [1, 'amr(245)']
Complex2Simple | Amrita School of Engineering, Amritapuri | [1, 'kan(28)']
CodeMonkeys | College of Engineering, Guindy | [1, 'amr(1346)']
CodeYGen-2 | VIT University, Chennai | [1, 'amr(1233)']
arkhamCoders | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kgp(330)']
AlgoWadi | The LNM Institute of Information Technology | [1, 'amr(610)']
regex | Birla Institute of Technology Mesra | [1, 'amr(1229)']
OPTIMUS | Institute of Engineering & Management, Kolkata | [1, 'kan(192)']
One_last_time | Indian Institute of Information Technology, Allahabad | [1, 'kgp(105)']
SAM | International Institute of Information Technology, Hyderabad | [1, 'amr(112)']
Code Racer | M. J. P. Rohilkhand University, Bareilly | [1, 'amr(140)']
<DAMn.h> | Indian Institute of Information Technology, Allahabad | [1, 'amr(193)']
CodeRiders | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1323)']
The NIMS | National Institute of Technology, Kurukshetra | [1, 'kan(236)']
Divide&Conquer | Indian Institute of Technology Delhi | [1, 'amr(238)']
codewarriors | Indian Institute of Technology Bombay | [1, 'amr(505)']
randomly | National Institute of Technology Warangal | [1, 'kan(303)']
terrific trio | Thiagarajar College of Engineering | [1, 'amr(1349)']
codeyapa | National Institute of Technology, Calicut | [1, 'amr(1384)']
vssut_pride5 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(1381)']
Tornado | Indian Institute of Information Technology, Allahabad | [1, 'amr(1151)']
TechNox | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'kan(293)']
Failedmid | Manipal Institute of Technology, Manipal | [1, 'amr(778)']
#namaz | National Institute of Technology, Calicut | [1, 'amr(993)']
BEAGLER'S | University School of Information Technology | [1, 'kan(436)']
ISM Dhanbad_2ndYear | Indian School of Mines | [1, 'kan(351)']
pineApple | Indian Institute of Technology Indore | [1, 'amr(265)']
Skyscraper | Indian Institute of Technology Indore | [1, 'amr(891)']
godfather | Malaviya National Institute of Technology, Jaipur | [1, 'kan(88)']
Simplifiers | Vasavi College of Engineering | [1, 'amr(1281)']
aRBTs | Indian Institute of Technology Bombay | [1, 'amr(287)']
VITCCJM2 | VIT University, Chennai | [1, 'amr(888)']
GECBians | Government Engineering College Barton Hill, Thiruvananthapuram | [1, 'amr(974)']
Cyphers | Dr. B. R. Ambedkar National Institute of Technology, Jalandhar | [1, 'kan(55)']
code_busterz | Delhi Technological University | [1, 'amr(847)']
returnVoid | National Institute of Technology, Calicut | [1, 'amr(479)']
brainyButchers | Northern India Engineering College | [1, 'amr(578)']
innovex | Anil Neerukonda Institute of Technology and Sciences | [1, 'kgp(406)']
MNIT_Riders | Malaviya National Institute of Technology, Jaipur | [1, 'amr(1068)']
QUASAR | Indira Gandhi Institute of Technology | [1, 'kan(391)']
SuperKoders | Thapar University | [1, 'amr(596)']
LNMIIT 2 | The LNM Institute of Information Technology | [1, 'amr(1179)']
C_Panic | Birla Institute of Technology Mesra | [1, 'amr(1013)']
Codistas | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1345)']
Dementors | Indian Institute of Technology Kharagpur | [1, 'kgp(247)']
coders1 | Vasavi College of Engineering | [1, 'amr(1358)']
Coders | Chandubhai S Patel Institute of Technology, Gujarat | [1, 'kgp(367)']
Humble_fool | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(440)']
HumbleCoders | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1359)']
LoopInfinity | Indian Institute of Information Technology, Allahabad | [1, 'amr(79)']
SASCoder | Shri Govindram Seksaria Institute of Technology and Science | [1, 'kan(434)']
LOL | Pimpri Chinchwad College of Engineering, Pune | [1, 'amr(640)']
RED CODE | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1126)']
ManiAC_25 | International Institute of Information Technology, Hyderabad | [1, 'amr(276)']
gray_matter | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(288)']
Freaking[3] | Jaypee Institute of Information Technology | [1, 'amr(1298)']
eNKoderZ | B.S.Abdur Rahman University, Chennai | [1, 'amr(1388)']
the_ignorants | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'amr(1245)']
codefreak | Indian Institute of Technology, Jodhpur | [1, 'kan(215)']
raging coders | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(758)']
frictia | National Institute of Technology Warangal | [1, 'kan(268)']
Access_Denied | Jaypee University of Engineering and Technology, Guna | [1, 'amr(207)']
Django_compiled | Sreenidhi Institute of Science and Technology, Hyderabad | [1, 'amr(663)']
Recursion | National Institute of Technology, Kurukshetra | [1, 'kan(85)']
GreenTicks | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(855)']
zealfire | Jaypee Institute of Information Technology | [1, 'kan(122)']
BreakTheCode | Guru Tegh Bahadur Institute of Technology, New Delhi | [1, 'kgp(266)']
coders@sastra | SASTRA University | [1, 'amr(1393)']
cO(n)tenders | Amrita School of Engineering, Coimbatore | [1, 'amr(1071)']
igniters | Amrita University | [1, 'amr(1341)']
TheIncredibles | Indian Institute of Science, Bangalore | [1, 'amr(710)']
The A Team | Birla Institute of Technology Mesra | [1, 'amr(905)']
2012IT02 | Rajalakshmi Institute of Technology, Tamil Nadu | [1, 'amr(1105)']
code rockers | International Institute of Information Technology, Hyderabad | [1, 'amr(991)']
VERUM_SHOW | National Institute of Technology, Calicut | [1, 'amr(1382)']
inglorious | Indian Institute of Technology Kanpur | [1, 'kgp(29)']
_i9_ | Birla Institute of Technology, Patna | [1, 'amr(157)']
vssut_fame5 | Veer Surendra Sai University of Technology, Orissa | [1, 'kan(429)']
Gunners | Rashtreeya Vidyalaya College of Engineering, Bangalore | [1, 'amr(1356)']
codon | Indian Institute of Technology Bombay | [1, 'amr(62)']
Code Blasters | Jaypee Institute of Information Technology | [1, 'kgp(296)']
CodeFreaks | National Institute of Technology, Rourkela | [1, 'kgp(345)']
null_pointers | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1244)']
AlgorithmistsBeginners | Indian Institute of Technology Kanpur | [1, 'amr(637)']
AdithyaVishalAditya | Indian Institute of Technology Bombay | [1, 'amr(1268)']
rookies | Bengal Engineering and Science University, Shibpur | [1, 'amr(656)']
CAPETA'4' | Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram | [1, 'amr(839)']
Deception | International Institute of Information Technology, Hyderabad | [1, 'kgp(179)']
fastbits | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(777)']
Infinity-VNIT | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(990)']
PseudoPolynomials | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(58)']
RGUKT | Rajiv Gandhi University of Knowledge Technologies, RK Valley | [1, 'amr(875)']
Three | International Institute of Information Technology, Hyderabad | [1, 'amr(923)']
Linkers | Veermata Jijabai Technological Institute, Mumbai | [1, 'kgp(417)']
Habozyk | Indian Institute of Technology Delhi | [1, 'amr(246)']
forkboom | Indian Institute of Technology Kanpur | [1, 'kan(347)']
NO-LAN Here | Indian Institute of Technology Kharagpur | [1, 'amr(415)']
NoName | Indian Institute of Technology Roorkee | [1, 'amr(410)']
Destroyers | National Institute of Technology, Calicut | [1, 'amr(1168)']
byteme | Indian Institute of Technology Ropar | [1, 'kan(468)']
fabs(/m/) | International Institute of Information Technology, Hyderabad | [1, 'kan(482)']
ThePeaceCoders | Indian Institute of Technology Kharagpur | [1, 'amr(542)']
wrong_answer | Indian Institute of Information Technology, Allahabad | [1, 'amr(122)']
Bazinga42 | Indian Institute of Technology Guwahati | [1, 'amr(114)']
Trial&Error | Vellore Institute of Technology, Vellore | [1, 'kgp(80)']
Matrix | Maulana Azad National Institute of Technology, Bhopal | [1, 'kan(243)']
Dcoders | National Institute of Technology, Durgapur | [1, 'amr(842)']
CSECE | Birla Institute of Technology Mesra | [1, 'amr(899)']
Dreamers | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(651)']
bitsPlease | SASTRA University | [1, 'kan(219)']
Code for fun | Indira Gandhi Institute of Technology | [1, 'kan(199)']
Storm Troopers | Manipal Institute of Technology, Manipal | [1, 'amr(1020)']
Complexity_Simplified | Amrita School of Engineering, Amritapuri | [1, 'kgp(112)']
Zenith | Indian Institute of Technology Indore | [1, 'amr(680)']
Creeper | National Institute of Technology, Jamshedpur | [1, 'amr(1021)']
Humble_Fool | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'kan(310)']
Most_Ridiculous_Team | Indian Institute of Information Technology, Allahabad | [1, 'amr(134)']
Hackstars | National Institute of Technology, Calicut | [1, 'amr(890)']
Baazigars | National Institute of Technology, Durgapur | [1, 'kan(329)']
Code-Geeks | Sinhgad Academy Of Engineering | [1, 'amr(424)']
Proxima | International Institute of Information Technology, Hyderabad | [1, 'amr(445)']
Flying Dutchmen | Indian Institute of Technology Guwahati | [1, 'amr(1221)']
QUBIT | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1104)']
mckv coders | MCKV Institute of Engineering, Liluah | [1, 'kgp(414)']
2012IT01 | Rajalakshmi Institute of Technology, Tamil Nadu | [1, 'amr(1344)']
XPL01T5 | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(34)']
T.H.O.R | Amrita School of Engineering, Amritapuri | [1, 'amr(1146)']
Lost in code | International Institute of Information Technology, Hyderabad | [1, 'amr(1106)']
AbitWISE | International Institute of Information Technology, Hyderabad | [1, 'amr(352)']
Builders | M. S. Ramaiah Institute of Technology, Bengaluru | [1, 'amr(496)']
InfiniteLoopers | National Institute of Technology Karnataka | [1, 'amr(1080)']
TURING | PSG College of Technology, Coimbatore | [1, 'amr(1230)']
TheChallengers | Indian Institute of Information Technology, Allahabad | [1, 'amr(1156)']
Not_Decided | Indian Institute of Technology Roorkee | [1, 'amr(255)']
SHKAAD | Amrita University | [1, 'amr(1109)']
DHP | Indian Institute of Information Technology, Allahabad | [1, 'amr(590)']
NEBULA | Sree Vidyanikethan Engineering College | [1, 'kan(448)']
