The Matrix | Rustamji Institute of Technology | [1, 'kan(315)']
ashteamac | National Institute of Technology Warangal | [1, 'kan(204)']
VISTANZIAN | Delhi Technological University | [1, 'amr(227)']
Avengers | Institute of Technology, Nirma University | [1, 'kan(365)']
bitShifters | Heritage Institute of Technology, Kolkata | [1, 'kan(249)']
Algophillic | Indian Institute of Technology Roorkee | [1, 'kgp(157)']
HACK@NSA | International Institute of Information Technology, Hyderabad | [1, 'amr(778)']
asm | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(467)']
Team T Name | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(813)']
SPARKZ PRIDES | Karpagam College of Engineering, Coimbatore | [1, 'amr(1252)']
Root2Paradigm | Rashtreeya Vidyalaya College of Engineering, Bangalore | [1, 'amr(924)']
Semicolons | Indian Institute of Technology Ropar | [1, 'kan(87)']
Three_Musketeers | Indian Institute of Information Technology, Allahabad | [1, 'amr(98)']
Geek Walkers | International Institute of Information Technology, Hyderabad | [1, 'amr(797)']
callow_crew | Jaypee University of Engineering and Technology, Guna | [1, 'kan(383)']
Keyboard Gymnasts | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1405)']
catalan-loosers | Indian Institute of Technology Roorkee | [1, 'kgp(64)']
CET1 | College of Engineering, Trivandrum | [1, 'amr(1208)']
League of Shadows | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(526)']
Space Oddity | Amrita School of Engineering, Coimbatore | [1, 'amr(1256)']
sha-bang | International Institute of Information Technology, Hyderabad | [1, 'amr(263)']
threeBy0 | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(57)']
Ruler | International Institute of Information Technology, Hyderabad | [1, 'amr(977)']
XIMBNJ | Indian Institute of Technology Kharagpur | [1, 'amr(523)']
Code Wizards | Charotar University of Science and Technology | [1, 'amr(488)']
NP Incomplete | Sri Sivasubramaniya Nadar College of Engineering, Chennai | [1, 'amr(850)']
dragonbornz | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(164)']
pointers | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1210)']
bhai | Indian Institute of Technology Kanpur | [1, 'kgp(241)']
drexo | National Institute of Technology, Calicut | [1, 'amr(1040)']
Phantoms | Birla Institute of Technology Mesra | [1, 'amr(101)']
Codohack | Jaypee Institute of Information Technology | [1, 'kgp(378)']
FeatherSword | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(837)']
Code Dynamo | International Institute of Information Technology, Hyderabad | [1, 'amr(1047)']
1by0 | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(805)']
Infinite_loop | National Institute of Technology, Durgapur | [1, 'kan(280)']
recursiveWarriors | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(311)']
Koders | Sir M Visveswaraya Institute of Technology, Bangalore | [1, 'amr(658)']
NSS | Bengal Engineering and Science University, Shibpur | [1, 'amr(869)']
KALYUG_KI_DAUD | Indian Institute of Technology Kanpur | [1, 'kan(238)']
CrimeLimitExceeded | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1360)']
TCE Champions | Thiagarajar College of Engineering | [1, 'amr(1260)']
#include_777.h | Indian Institute of Information Technology, Allahabad | [1, 'amr(88)']
_Zombies | International Institute of Information Technology, Hyderabad | [1, 'amr(396)']
3 crackerjacks | Indian Institute of Information Technology, Allahabad | [1, 'amr(1014)']
let_us_ac | Birla Institute of Technology Mesra | [1, 'amr(691)']
HashInclude | National Institute of Technology, Durgapur | [1, 'kgp(357)']
Gagnants | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(762)']
AllPossible | St. Xavier's College, Kolkata | [1, 'kgp(284)']
ctcoders | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'kgp(310)']
decodejps | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(152)']
Adamant | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1128)']
TheMinionModule | International Institute of Information Technology, Bangalore | [1, 'amr(784)']
bashrc | Indian Institute of Information Technology, Allahabad | [1, 'kan(97)']
SIGSEGV | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(416)']
innovatians | Indian Institute of Technology Mandi | [1, 'kan(470)']
iitbhu_begineers | Indian Institute of Technology, Varanasi | [1, 'amr(930)']
Lannisters | Yeshwantrao Chavan College of Engineering | [1, 'amr(455)']
ITCrowd | Amrita School of Engineering, Bengaluru | [1, 'amr(1430)']
Blazers | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(441)']
mgx | Amrita School of Engineering, Bengaluru | [1, 'amr(1002)']
Coders | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'kan(145)']
Naughty Coders | Indian Institute of Technology Delhi | [1, 'amr(361)']
Coder | National Institute of Technology, Rourkela | [1, 'kgp(358)']
Brute_forcers | Thapar University | [1, 'amr(323)']
TheAnsweringMachine | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(229)']
struggler | Indian Institute of Technology, Jodhpur | [1, 'kan(212)']
Iterator | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1306)']
SeaPlusPlus | National Institute of Technology Warangal | [1, 'amr(737)']
code_freakz | Indian Institute of Technology, Varanasi | [1, 'kan(218)']
#define | Indian Institute of Technology Mandi | [1, 'kan(460)']
B-Team | Delhi Technological University | [1, 'amr(537)']
Warriors | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1369)']
SWAN | Birla Institute of Technology Mesra | [1, 'amr(747)']
BooleanTrap | Dharmsinh Desai University, Nadiad | [1, 'amr(640)']
TCE Bloomers | Thiagarajar College of Engineering | [1, 'amr(1265)']
divinedevils | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(747)']
Black cats | Karpagam College of Engineering, Coimbatore | [1, 'amr(1309)']
think_positive | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(426)']
NP Complete | Indira Gandhi Institute of Technology | [1, 'kan(307)']
sleepercells | Madras Institute of Technology, Anna University | [1, 'kan(90)']
vssut_pride7 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(1351)']
the_algo_freaks | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(612)']
dragonaire | Indian Institute of Technology Roorkee | [1, 'amr(242)']
NativeCode | Indian Institute of Information Technology, Allahabad | [1, 'amr(747)']
McCarthy | JK Institute of Applied Physics and Technology,University of Allahabad | [1, 'kgp(311)']
skyscraper | Indian Institute of Technology Roorkee | [1, 'amr(927)']
SAGARB | Abes Engineering college, Ghaziabad | [1, 'kgp(348)']
Lastimers | National Institute of Technology, Calicut | [1, 'amr(335)']
Pseudo | Birla Institute of Technology Mesra | [1, 'amr(392)']
Eliminators | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1139)']
FlyingMachines | Jawaharlal Nehru Technological University, Vizianagaram | [1, 'amr(1034)']
TheDarkLord | Deenbandhu Chhotu Ram University of Science and Technology, Murthal | [1, 'kan(267)']
CIT Code Blasters | Chennai Institute of Technology | [1, 'amr(1254)']
dread_lord | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(158)']
navdrishti | Jaypee University of Information Technology | [1, 'amr(568)']
Saracens | Indian Institute of Technology Kanpur | [1, 'kgp(233)']
BlackMamba | Indian Institute of Technology Delhi | [1, 'kan(361)']
optimus_prime | Indian Institute of Technology Roorkee | [1, 'amr(315)']
meth | Birla Institute of Technology Mesra | [1, 'amr(50)']
DeadKennedys | Jaypee Institute of Information Technology | [1, 'amr(1087)']
Team Phoenix | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1218)']
BugPlay | Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya | [1, 'amr(1059)']
think | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(316)']
Isme_kya_hai | Indian Institute of Information Technology, Allahabad | [1, 'kgp(107)']
beArebel | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(1120)']
hACK | National Institute of Technology Karnataka | [1, 'amr(624)']
Insomniacs | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(321)']
SPARK | Birla Institute of Technology, Patna | [1, 'amr(1274)']
CodeTrolls | National Institute of Technology Raipur | [1, 'amr(428)']
excelsior | Indian Institute of Technology Bombay | [1, 'amr(1267)']
Fun | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(483)']
nks | Amrita School of Engineering, Coimbatore | [1, 'amr(1373)']
rdax | Indian Institute of Technology Kharagpur | [1, 'amr(409)']
